mode,ate,drift_index,ares_penalty,confidence,proposed_zeta,zeta_max,safe_zeta,was_clipped
full,1.5479120971119267,0.4388784397520523,0.42929895995569123,0.7881576203415547,0.16592414352135468,0.8,0.16592414352135468,0
no_conf,1.5479120971119267,0.4388784397520523,0.42929895995569123,0.7881576203415547,0.16592414352135468,0.8,0.16592414352135468,0
no_ares,1.5479120971119267,0.4388784397520523,0.42929895995569123,0.7881576203415547,0.16592414352135468,0.8,0.16592414352135468,0
no_di,1.5479120971119267,0.4388784397520523,0.42929895995569123,0.7881576203415547,0.16592414352135468,0.8,0.16592414352135468,0
ares_alt,1.5479120971119267,0.4388784397520523,0.42929895995569123,0.7881576203415547,0.16592414352135468,0.8,0.16592414352135468,0
full,1.9512447032735118,0.761139701990353,0.3930321526384769,0.3896795428728821,0.415270156526897,0.8,0.415270156526897,0
no_conf,1.9512447032735118,0.761139701990353,0.3930321526384769,0.3896795428728821,0.415270156526897,0.8,0.415270156526897,0
no_ares,1.9512447032735118,0.761139701990353,0.3930321526384769,0.3896795428728821,0.415270156526897,0.8,0.415270156526897,0
no_di,1.9512447032735118,0.761139701990353,0.3930321526384769,0.3896795428728821,0.415270156526897,0.8,0.415270156526897,0
ares_alt,1.9512447032735118,0.761139701990353,0.3930321526384769,0.3896795428728821,0.415270156526897,0.8,0.415270156526897,0
full,0.7415960484651625,0.9267649888486018,0.32193256004033227,0.8759331292895809,0.4103899391791318,0.8,0.4103899391791318,0
no_conf,0.7415960484651625,0.9267649888486018,0.32193256004033227,0.8759331292895809,0.4103899391791318,0.8,0.4103899391791318,0
no_ares,0.7415960484651625,0.9267649888486018,0.32193256004033227,0.8759331292895809,0.4103899391791318,0.8,0.4103899391791318,0
no_di,0.7415960484651625,0.9267649888486018,0.32193256004033227,0.8759331292895809,0.4103899391791318,0.8,0.4103899391791318,0
ares_alt,0.7415960484651625,0.9267649888486018,0.32193256004033227,0.8759331292895809,0.4103899391791318,0.8,0.4103899391791318,0
full,0.4544774435695538,0.5545847870158348,0.03190862805208766,0.8793418203948073,0.5421650793854454,0.8,0.5421650793854454,0
no_conf,0.4544774435695538,0.5545847870158348,0.03190862805208766,0.8793418203948073,0.5421650793854454,0.8,0.5421650793854454,0
no_ares,0.4544774435695538,0.5545847870158348,0.03190862805208766,0.8793418203948073,0.5421650793854454,0.8,0.5421650793854454,0
no_di,0.4544774435695538,0.5545847870158348,0.03190862805208766,0.8793418203948073,0.5421650793854454,0.8,0.5421650793854454,0
ares_alt,0.4544774435695538,0.5545847870158348,0.03190862805208766,0.8793418203948073,0.5421650793854454,0.8,0.5421650793854454,0
full,1.5161754801707477,0.35452596812986836,0.48534901219745163,0.9251847849255384,0.6448684479516333,0.8,0.6448684479516333,0
no_conf,1.5161754801707477,0.35452596812986836,0.48534901219745163,0.9251847849255384,0.6448684479516333,0.8,0.6448684479516333,0
no_ares,1.5161754801707477,0.35452596812986836,0.48534901219745163,0.9251847849255384,0.6448684479516333,0.8,0.6448684479516333,0
no_di,1.5161754801707477,0.35452596812986836,0.48534901219745163,0.9251847849255384,0.6448684479516333,0.8,0.6448684479516333,0
ares_alt,1.5161754801707477,0.35452596812986836,0.48534901219745163,0.9251847849255384,0.6448684479516333,0.8,0.6448684479516333,0
full,0.38927741570393515,0.4667210037270342,0.02190188289361439,0.40800264444728346,0.5781342672697183,0.6370594663523527,0.5781342672697183,0
no_conf,0.38927741570393515,0.4667210037270342,0.02190188289361439,0.40800264444728346,0.5781342672697183,0.8,0.5781342672697183,0
no_ares,0.38927741570393515,0.4667210037270342,0.02190188289361439,0.40800264444728346,0.5781342672697183,0.6663277421766479,0.5781342672697183,0
no_di,0.38927741570393515,0.4667210037270342,0.02190188289361439,0.40800264444728346,0.5781342672697183,0.8,0.5781342672697183,0
ares_alt,0.38927741570393515,0.4667210037270342,0.02190188289361439,0.40800264444728346,0.5781342672697183,0.2972274475341641,0.2972274475341641,1
full,1.4895243118156343,0.96750973243421,0.16291267906907597,0.5593217942244082,0.4286890678930656,0.8,0.4286890678930656,0
no_conf,1.4895243118156343,0.96750973243421,0.16291267906907597,0.5593217942244082,0.4286890678930656,0.8,0.4286890678930656,0
no_ares,1.4895243118156343,0.96750973243421,0.16291267906907597,0.5593217942244082,0.4286890678930656,0.8,0.4286890678930656,0
no_di,1.4895243118156343,0.96750973243421,0.16291267906907597,0.5593217942244082,0.4286890678930656,0.8,0.4286890678930656,0
ares_alt,1.4895243118156343,0.96750973243421,0.16291267906907597,0.5593217942244082,0.4286890678930656,0.8,0.4286890678930656,0
full,0.3789427181685714,0.12992150533547164,0.23785246311296687,0.4588365443356188,0.5688697962777572,0.8,0.5688697962777572,0
no_conf,0.3789427181685714,0.12992150533547164,0.23785246311296687,0.4588365443356188,0.5688697962777572,0.8,0.5688697962777572,0
no_ares,0.3789427181685714,0.12992150533547164,0.23785246311296687,0.4588365443356188,0.5688697962777572,0.8,0.5688697962777572,0
no_di,0.3789427181685714,0.12992150533547164,0.23785246311296687,0.4588365443356188,0.5688697962777572,0.8,0.5688697962777572,0
ares_alt,0.3789427181685714,0.12992150533547164,0.23785246311296687,0.4588365443356188,0.5688697962777572,0.5105758525349415,0.5105758525349415,1
full,0.8743038377446615,0.8326781960578374,0.35013255100112456,0.5186566489674287,0.6825818609766408,0.7603276542940024,0.6825818609766408,0
no_conf,0.8743038377446615,0.8326781960578374,0.35013255100112456,0.5186566489674287,0.6825818609766408,0.8,0.6825818609766408,0
no_ares,0.8743038377446615,0.8326781960578374,0.35013255100112456,0.5186566489674287,0.6825818609766408,0.8,0.6825818609766408,0
no_di,0.8743038377446615,0.8326781960578374,0.35013255100112456,0.5186566489674287,0.6825818609766408,0.8,0.6825818609766408,0
ares_alt,0.8743038377446615,0.8326781960578374,0.35013255100112456,0.5186566489674287,0.6825818609766408,0.6849790317393445,0.6825818609766408,0
full,1.6095287149936037,0.38747837903017446,0.14416405196512205,0.7777468527824828,0.1978267385265169,0.8,0.1978267385265169,0
no_conf,1.6095287149936037,0.38747837903017446,0.14416405196512205,0.7777468527824828,0.1978267385265169,0.8,0.1978267385265169,0
no_ares,1.6095287149936037,0.38747837903017446,0.14416405196512205,0.7777468527824828,0.1978267385265169,0.8,0.1978267385265169,0
no_di,1.6095287149936037,0.38747837903017446,0.14416405196512205,0.7777468527824828,0.1978267385265169,0.8,0.1978267385265169,0
ares_alt,1.6095287149936037,0.38747837903017446,0.14416405196512205,0.7777468527824828,0.1978267385265169,0.8,0.1978267385265169,0
full,0.39981640495021664,0.007362269751005512,0.3934621887510692,0.7653955996144224,0.5936157650384346,0.8,0.5936157650384346,0
no_conf,0.39981640495021664,0.007362269751005512,0.3934621887510692,0.7653955996144224,0.5936157650384346,0.8,0.5936157650384346,0
no_ares,0.39981640495021664,0.007362269751005512,0.3934621887510692,0.7653955996144224,0.5936157650384346,0.8,0.5936157650384346,0
no_di,0.39981640495021664,0.007362269751005512,0.3934621887510692,0.7653955996144224,0.5936157650384346,0.8,0.5936157650384346,0
ares_alt,0.39981640495021664,0.007362269751005512,0.3934621887510692,0.7653955996144224,0.5936157650384346,0.8,0.5936157650384346,0
full,1.5614580620439358,0.45891577553833995,0.28437059797644687,0.39785789868936017,0.18017105147518142,0.8,0.18017105147518142,0
no_conf,1.5614580620439358,0.45891577553833995,0.28437059797644687,0.39785789868936017,0.18017105147518142,0.8,0.18017105147518142,0
no_ares,1.5614580620439358,0.45891577553833995,0.28437059797644687,0.39785789868936017,0.18017105147518142,0.8,0.18017105147518142,0
no_di,1.5614580620439358,0.45891577553833995,0.28437059797644687,0.39785789868936017,0.18017105147518142,0.8,0.18017105147518142,0
ares_alt,1.5614580620439358,0.45891577553833995,0.28437059797644687,0.39785789868936017,0.18017105147518142,0.8,0.18017105147518142,0
full,1.3368059235809433,0.4710962061431325,0.2826180532405944,0.8354992001912178,0.5443028240004136,0.8,0.5443028240004136,0
no_conf,1.3368059235809433,0.4710962061431325,0.2826180532405944,0.8354992001912178,0.5443028240004136,0.8,0.5443028240004136,0
no_ares,1.3368059235809433,0.4710962061431325,0.2826180532405944,0.8354992001912178,0.5443028240004136,0.8,0.5443028240004136,0
no_di,1.3368059235809433,0.4710962061431325,0.2826180532405944,0.8354992001912178,0.5443028240004136,0.8,0.5443028240004136,0
ares_alt,1.3368059235809433,0.4710962061431325,0.2826180532405944,0.8354992001912178,0.5443028240004136,0.8,0.5443028240004136,0
full,1.1071588013159916,0.5592071607454135,0.1519750490313061,0.3215724841975576,0.4057021724626537,0.8,0.4057021724626537,0
no_conf,1.1071588013159916,0.5592071607454135,0.1519750490313061,0.3215724841975576,0.4057021724626537,0.8,0.4057021724626537,0
no_ares,1.1071588013159916,0.5592071607454135,0.1519750490313061,0.3215724841975576,0.4057021724626537,0.8,0.4057021724626537,0
no_di,1.1071588013159916,0.5592071607454135,0.1519750490313061,0.3215724841975576,0.4057021724626537,0.8,0.4057021724626537,0
ares_alt,1.1071588013159916,0.5592071607454135,0.1519750490313061,0.3215724841975576,0.4057021724626537,0.5707308602955732,0.4057021724626537,0
full,0.4291693456390584,0.40852864372463615,0.42670153663408306,0.4637576401057385,0.14081191918234623,0.4709499673918987,0.14081191918234623,0
no_conf,0.4291693456390584,0.40852864372463615,0.42670153663408306,0.4637576401057385,0.14081191918234623,0.8,0.14081191918234623,0
no_ares,0.4291693456390584,0.40852864372463615,0.42670153663408306,0.4637576401057385,0.14081191918234623,0.8,0.14081191918234623,0
no_di,0.4291693456390584,0.40852864372463615,0.42670153663408306,0.4637576401057385,0.14081191918234623,0.8,0.14081191918234623,0
ares_alt,0.4291693456390584,0.40852864372463615,0.42670153663408306,0.4637576401057385,0.14081191918234623,0.41691790426165465,0.14081191918234623,0
full,0.5627677840439931,0.2935937577666836,0.33095825736344753,0.6899225066388948,0.6487287463744895,0.8,0.6487287463744895,0
no_conf,0.5627677840439931,0.2935937577666836,0.33095825736344753,0.6899225066388948,0.6487287463744895,0.8,0.6487287463744895,0
no_ares,0.5627677840439931,0.2935937577666836,0.33095825736344753,0.6899225066388948,0.6487287463744895,0.8,0.6487287463744895,0
no_di,0.5627677840439931,0.2935937577666836,0.33095825736344753,0.6899225066388948,0.6487287463744895,0.8,0.6487287463744895,0
ares_alt,0.5627677840439931,0.2935937577666836,0.33095825736344753,0.6899225066388948,0.6487287463744895,0.8,0.6487287463744895,0
full,1.328627080654775,0.4063868614400705,0.40701019233301733,0.4168810439353927,0.11589845119370235,0.8,0.11589845119370235,0
no_conf,1.328627080654775,0.4063868614400705,0.40701019233301733,0.4168810439353927,0.11589845119370235,0.8,0.11589845119370235,0
no_ares,1.328627080654775,0.4063868614400705,0.40701019233301733,0.4168810439353927,0.11589845119370235,0.8,0.11589845119370235,0
no_di,1.328627080654775,0.4063868614400705,0.40701019233301733,0.4168810439353927,0.11589845119370235,0.8,0.11589845119370235,0
ares_alt,1.328627080654775,0.4063868614400705,0.40701019233301733,0.4168810439353927,0.11589845119370235,0.8,0.11589845119370235,0
full,0.1800957215512835,0.7223593505964503,0.2309386151256937,0.41289024532352125,0.4507313425723545,0.15438580646701902,0.15438580646701902,1
no_conf,0.1800957215512835,0.7223593505964503,0.2309386151256937,0.41289024532352125,0.4507313425723545,0.37391487983943433,0.37391487983943433,1
no_ares,0.1800957215512835,0.7223593505964503,0.2309386151256937,0.41289024532352125,0.4507313425723545,0.20306907146734923,0.20306907146734923,1
no_di,0.1800957215512835,0.7223593505964503,0.2309386151256937,0.41289024532352125,0.4507313425723545,0.6172507185220912,0.4507313425723545,0
ares_alt,0.1800957215512835,0.7223593505964503,0.2309386151256937,0.41289024532352125,0.4507313425723545,0.11271164494244808,0.11271164494244808,1
full,0.30462420542633684,0.696320375077736,0.22307813778701535,0.5667148582675376,0.3110584624035136,0.37149847135201963,0.3110584624035136,0
no_conf,0.30462420542633684,0.696320375077736,0.22307813778701535,0.5667148582675376,0.3110584624035136,0.6555297888036681,0.3110584624035136,0
no_ares,0.30462420542633684,0.696320375077736,0.22307813778701535,0.5667148582675376,0.3110584624035136,0.48882934570320985,0.3110584624035136,0
no_di,0.30462420542633684,0.696320375077736,0.22307813778701535,0.5667148582675376,0.3110584624035136,0.8,0.3110584624035136,0
ares_alt,0.30462420542633684,0.696320375077736,0.22307813778701535,0.5667148582675376,0.3110584624035136,0.30297337255133727,0.30297337255133727,1
full,1.260565186237777,0.3618126105533904,0.0438249596580505,0.3826041314843607,0.7733283651846602,0.8,0.7733283651846602,0
no_conf,1.260565186237777,0.3618126105533904,0.0438249596580505,0.3826041314843607,0.7733283651846602,0.8,0.7733283651846602,0
no_ares,1.260565186237777,0.3618126105533904,0.0438249596580505,0.3826041314843607,0.7733283651846602,0.8,0.7733283651846602,0
no_di,1.260565186237777,0.3618126105533904,0.0438249596580505,0.3826041314843607,0.7733283651846602,0.8,0.7733283651846602,0
ares_alt,1.260565186237777,0.3618126105533904,0.0438249596580505,0.3826041314843607,0.7733283651846602,0.8,0.7733283651846602,0
full,1.817161381415214,0.6997071338107496,0.1329349807297598,0.9784234641434066,0.6451256327760563,0.8,0.6451256327760563,0
no_conf,1.817161381415214,0.6997071338107496,0.1329349807297598,0.9784234641434066,0.6451256327760563,0.8,0.6451256327760563,0
no_ares,1.817161381415214,0.6997071338107496,0.1329349807297598,0.9784234641434066,0.6451256327760563,0.8,0.6451256327760563,0
no_di,1.817161381415214,0.6997071338107496,0.1329349807297598,0.9784234641434066,0.6451256327760563,0.8,0.6451256327760563,0
ares_alt,1.817161381415214,0.6997071338107496,0.1329349807297598,0.9784234641434066,0.6451256327760563,0.8,0.6451256327760563,0
full,1.4337803783179912,0.44936150214378867,0.1361207809225795,0.36747367350744947,0.7318216775806892,0.8,0.7318216775806892,0
no_conf,1.4337803783179912,0.44936150214378867,0.1361207809225795,0.36747367350744947,0.7318216775806892,0.8,0.7318216775806892,0
no_ares,1.4337803783179912,0.44936150214378867,0.1361207809225795,0.36747367350744947,0.7318216775806892,0.8,0.7318216775806892,0
no_di,1.4337803783179912,0.44936150214378867,0.1361207809225795,0.36747367350744947,0.7318216775806892,0.8,0.7318216775806892,0
ares_alt,1.4337803783179912,0.44936150214378867,0.1361207809225795,0.36747367350744947,0.7318216775806892,0.8,0.7318216775806892,0
full,0.9115525796672221,0.20236336479523032,0.15297831207532625,0.7054536982593271,0.2237409480574622,0.8,0.2237409480574622,0
no_conf,0.9115525796672221,0.20236336479523032,0.15297831207532625,0.7054536982593271,0.2237409480574622,0.8,0.2237409480574622,0
no_ares,0.9115525796672221,0.20236336479523032,0.15297831207532625,0.7054536982593271,0.2237409480574622,0.8,0.2237409480574622,0
no_di,0.9115525796672221,0.20236336479523032,0.15297831207532625,0.7054536982593271,0.2237409480574622,0.8,0.2237409480574622,0
ares_alt,0.9115525796672221,0.20236336479523032,0.15297831207532625,0.7054536982593271,0.2237409480574622,0.8,0.2237409480574622,0
full,1.713228568184751,0.7585195298352101,0.3597314779754684,0.6024651278425726,0.5391161884917103,0.8,0.5391161884917103,0
no_conf,1.713228568184751,0.7585195298352101,0.3597314779754684,0.6024651278425726,0.5391161884917103,0.8,0.5391161884917103,0
no_ares,1.713228568184751,0.7585195298352101,0.3597314779754684,0.6024651278425726,0.5391161884917103,0.8,0.5391161884917103,0
no_di,1.713228568184751,0.7585195298352101,0.3597314779754684,0.6024651278425726,0.5391161884917103,0.8,0.5391161884917103,0
ares_alt,1.713228568184751,0.7585195298352101,0.3597314779754684,0.6024651278425726,0.5391161884917103,0.8,0.5391161884917103,0
full,1.1681959378254712,0.64984660155482,0.042222160569944545,0.5910651815194268,0.12912992170332474,0.8,0.12912992170332474,0
no_conf,1.1681959378254712,0.64984660155482,0.042222160569944545,0.5910651815194268,0.12912992170332474,0.8,0.12912992170332474,0
no_ares,1.1681959378254712,0.64984660155482,0.042222160569944545,0.5910651815194268,0.12912992170332474,0.8,0.12912992170332474,0
no_di,1.1681959378254712,0.64984660155482,0.042222160569944545,0.5910651815194268,0.12912992170332474,0.8,0.12912992170332474,0
ares_alt,1.1681959378254712,0.64984660155482,0.042222160569944545,0.5910651815194268,0.12912992170332474,0.8,0.12912992170332474,0
full,0.9879816384890379,0.3298612123327853,0.07226209443302345,0.3723820774057861,0.5113512005243985,0.8,0.5113512005243985,0
no_conf,0.9879816384890379,0.3298612123327853,0.07226209443302345,0.3723820774057861,0.5113512005243985,0.8,0.5113512005243985,0
no_ares,0.9879816384890379,0.3298612123327853,0.07226209443302345,0.3723820774057861,0.5113512005243985,0.8,0.5113512005243985,0
no_di,0.9879816384890379,0.3298612123327853,0.07226209443302345,0.3723820774057861,0.5113512005243985,0.8,0.5113512005243985,0
ares_alt,0.9879816384890379,0.3298612123327853,0.07226209443302345,0.3723820774057861,0.5113512005243985,0.7605469548593016,0.5113512005243985,0
full,0.3411859370737722,0.9251201183767972,0.2905305698501975,0.5428088631743859,0.5136408440369917,0.3022047838148848,0.3022047838148848,1
