h_rate,controller,seed,viol_rate,final_V,auc_V,pearson
0.0,C3_EMA,0,0.3383383383383383,0.33294126399804147,2.0627063849029557,0.9554757984638151
0.0,C3_EMA,1,0.36236236236236236,24.401391410536256,2.088305534194032,0.9494903569379447
0.0,C3_EMA,2,0.3353353353353353,0.011703702846905181,2.047950530032176,0.9462842813462282
0.0,C3_EMA,3,0.35235235235235235,0.004372982103997367,2.0935735154146613,0.9545292153604065
0.0,C3_EMA,4,0.35035035035035034,0.04302976401729142,1.9511433261335673,0.9421956338488287
0.0,C3_EMA,5,0.3433433433433433,0.05788371534588263,2.0923869529067813,0.9459348045823412
0.0,C3_EMA,6,0.36436436436436437,0.06315106189061392,1.9344539391517106,0.9457471528612403
0.0,C3_EMA,7,0.34434434434434436,6.812679726683095,2.113768940446002,0.955750295323482
0.0,C3_EMA,8,0.3563563563563564,0.07369758810333742,2.0490638063120823,0.955429138850193
0.0,C3_EMA,9,0.34234234234234234,0.01110972930663446,2.023034916770194,0.9579734376296938
0.0,C3_EMA,10,0.3563563563563564,0.01059468729702627,2.0690439693916893,0.9527490703766404
0.0,C3_EMA,11,0.34034034034034033,0.08064209114315268,2.0230469606145385,0.9502277801361646
0.0,C3_EMA,12,0.34634634634634637,0.11835860385647216,1.9701458506710903,0.9488670402976438
0.0,C3_EMA,13,0.34034034034034033,0.019650760196852295,2.03799102051118,0.9495722439023793
0.0,C3_EMA,14,0.3483483483483483,0.016473478370803603,2.016554884578861,0.9424061646257105
0.0,C3_EMA,15,0.34934934934934936,0.037813745015971914,1.9784328374775182,0.9416635244924897
0.0,C3_EMA,16,0.35135135135135137,0.49261439178326927,2.072761810169506,0.9387969460446788
0.0,C3_EMA,17,0.3483483483483483,0.012120324842679124,2.038312184866152,0.9489771150377931
0.0,C3_EMA,18,0.35435435435435436,9.541483581078458,1.9923783894205869,0.939541753152857
0.0,C3_EMA,19,0.3613613613613614,0.07502812124903835,2.038551832088081,0.9476223204675105
0.0,C3_EMA,20,0.33633633633633636,0.024047224293336215,2.0525360305857117,0.9538710215433419
0.0,C3_EMA,21,0.3483483483483483,0.00831578917631999,2.066627595345692,0.9552047509853716
0.0,C3_EMA,22,0.3613613613613614,0.21627556031572753,1.9936611416620336,0.9467959007738427
0.0,C3_EMA,23,0.33633633633633636,6.068130918922612,2.054965242009157,0.9445514334215259
0.0,C3_EMA,24,0.34634634634634637,0.2385552015162671,1.9865235484364052,0.9467883718528636
0.0,C3_EMA,25,0.3563563563563564,0.03857284588535809,1.993186411596132,0.9514295036349906
0.0,C3_EMA,26,0.35135135135135137,0.009823268889853342,2.10450023394874,0.9420413056295311
0.0,C3_EMA,27,0.35035035035035034,2.5041237607443163,2.012449014459959,0.9460094122195096
