h_rate,controller,p95_dV_plus,max_overshoot,cvar95_dV_plus
0.0,B1_fixed,0.11224048893936,0.2554024818304565,0.14655762629172242
0.0,B2_cosine,0.08157121355247933,0.19968989377557933,0.10691021425475711
0.0,B3_gradclip,0.11220582054159227,0.2554024818304565,0.1468527338748192
0.0,C3_proxy,27.120066216016337,61.81309853810458,42.1667819134843
0.1,B1_fixed,7.736903221145762,21.161472139053878,10.539768187288857
0.1,B2_cosine,4.955183113202128,14.091652855562343,7.287895738165592
0.1,B3_gradclip,0.590231710635336,1.2400365766989212,0.7246915193009733
0.1,C3_proxy,33.485250734308885,73.15487028672997,45.77163000869266
0.3,B1_fixed,11.078162637291996,23.81333450133889,14.681393057639228
0.3,B2_cosine,8.737463148819364,18.23570017292005,11.571565939645973
0.3,B3_gradclip,0.8067479573498725,1.5505217870969805,1.0005962275261246
0.3,C3_proxy,19.295241471427975,40.75188365185036,27.89109939985546
0.5,B1_fixed,11.731286710729568,23.281721797598433,14.723170338711517
0.5,B2_cosine,8.8208394411717,17.21525595652437,11.223139961838442
0.5,B3_gradclip,0.9821533929945753,1.743210976244173,1.20851589770145
0.5,C3_proxy,11.994371053855446,31.18813156050041,16.988903453109852
