seed,ablation,h_rate,final_energy,mean_energy,max_energy,total_regret,oscillation_count,oscillation_index,c2_rejections,c2_rejection_rate,drift_detections,mean_detection_delay,mean_recovery_energy,lr_base
0,none,0.0,0.5356550850602302,0.3694218610222553,5.58738809462568,194.92842176268317,305,0.5083333333333333,0,0.0,0,50.0,0.2372266771125027,0.1
1,none,0.0,0.2329719158997951,0.37425286646043965,5.310430748118435,207.55918906979437,299,0.49833333333333335,0,0.0,0,50.0,0.29050566146022405,0.1
2,none,0.0,0.4324385799092345,0.3841400063980727,7.021046465998594,226.47861979152233,299,0.49833333333333335,0,0.0,0,50.0,0.280739363427237,0.1
3,none,0.0,0.16266739775574435,0.4462606606028005,15.80834470080307,274.0526563969457,277,0.46166666666666667,0,0.0,0,50.0,0.21407325352798082,0.1
4,none,0.0,0.17958006243642938,0.38139968063168306,6.291781838615583,241.33226121413375,260,0.43333333333333335,0,0.0,0,50.0,0.18662460240480844,0.1
5,none,0.0,0.10889453792878792,0.36335586551395094,5.421516178177203,207.91964383599904,313,0.5216666666666666,0,0.0,0,50.0,0.1091910372182188,0.1
6,none,0.0,0.30092364676084216,0.4268543912556069,9.846758840202328,232.8663407219869,298,0.49666666666666665,0,0.0,0,50.0,0.15147284067561811,0.1
7,none,0.0,0.3950361682634239,0.3615995566999445,6.115243473602946,230.77239752250162,291,0.485,0,0.0,0,50.0,0.3758810989872998,0.1
8,none,0.0,0.2584672138775616,0.4383683761107777,11.70684193988511,252.66662471218137,295,0.49166666666666664,0,0.0,0,50.0,0.27690335521603743,0.1
9,none,0.0,0.08212349915644093,0.3313074511720572,4.701027625500197,181.86763213189775,306,0.51,0,0.0,0,50.0,0.13919811194717582,0.1
10,none,0.0,0.31089141764494277,0.34347717826643975,5.413525750212339,185.98172231823594,278,0.4633333333333333,0,0.0,0,50.0,0.2919224254381608,0.1
11,none,0.0,0.09756248613655732,0.3646239919502464,4.7971123627879475,178.8893816811668,300,0.5,0,0.0,0,50.0,0.1809981683392986,0.1
12,none,0.0,0.29674632052155925,0.35964966586755576,5.3516536482368755,196.76255120972112,304,0.5066666666666667,0,0.0,0,50.0,0.1919188397478659,0.1
13,none,0.0,0.4301275483801614,0.4052869267491519,8.812058818202937,273.47148126915295,286,0.4766666666666667,0,0.0,0,50.0,0.27457140005057457,0.1
14,none,0.0,0.4883315786829908,0.40314379620538177,8.236549416841546,211.2555885145172,287,0.47833333333333333,0,0.0,0,50.0,0.291831922497483,0.1
15,none,0.0,0.161329536484571,0.42238572322014356,9.2179735064034,228.89333753136154,268,0.44666666666666666,0,0.0,0,50.0,0.4561975530636475,0.1
