seed,h_rate,controller,final_V,cumulative_V,true_viol_rate,pearson,spearman,bound_gap_mean
42,0.0,B1_fixed,0.09589860377794776,0.1075073356104112,0.4984984984984985,0.008443082245029262,0.5664350003947627,0.2834962932098224
42,0.0,B2_cosine,0.0066373268421059525,0.07859665177290559,0.4934934934934935,0.001134413983281449,0.31229508970566,0.1994057339871844
42,0.0,B3_gradclip,0.09589860377794776,0.16548071892680805,0.4964964964964965,-0.019556715782018938,0.5483691705877685,0.2877617455623154
42,0.0,C3_oracle,25.041878968300306,36.215310736217276,0.5015015015015015,0.3661490613925284,0.29169086977915265,0.0
42,0.0,C3_proxy,0.04514137721426323,2.087500778070797,0.34534534534534533,0.9276152219379343,0.011042849946547965,0.29585033279292366
43,0.0,B1_fixed,0.020575479779400618,0.10371223609861661,0.5035035035035035,0.010684440691235489,0.5885570289687239,0.2899320447260154
43,0.0,B2_cosine,0.001417379440842494,0.07472763863295351,0.4924924924924925,-0.0015901461941201349,0.34056311478303086,0.2046399827334955
43,0.0,B3_gradclip,0.020575479779400618,0.14799772438408074,0.5005005005005005,-0.014351155723984366,0.568138616587251,0.29473588011451135
43,0.0,C3_oracle,0.0005276360632441937,3.1617027264196036,0.4844844844844845,0.5280188351793079,0.3665568027075119,0.5646299060807592
43,0.0,C3_proxy,36.66526803313986,2.096117734691589,0.3563563563563564,0.9239590190281183,0.08549582347602319,0.2980196013810929
44,0.0,B1_fixed,0.07814800912475378,0.1037908788601466,0.4914914914914915,0.018283466020416958,0.5346562064926155,0.29543473246888785
44,0.0,B2_cosine,0.003462289142339418,0.07452745446399123,0.4854854854854855,0.0032697165724905304,0.2927841729977458,0.2577859084703372
44,0.0,B3_gradclip,0.07814800912475378,0.1345585923021235,0.4894894894894895,-0.007311679529967322,0.5226135730182855,0.29563251619394487
44,0.0,C3_oracle,56.37516082821791,50.05921512548647,0.5225225225225225,0.2196637611456392,0.1626177634104032,0.0
44,0.0,C3_proxy,0.011768987865382325,2.0904619865030267,0.33933933933933935,0.9279539185405207,0.022362453578088363,0.3180468618358483
45,0.0,B1_fixed,0.10955015272810764,0.08033026479454998,0.5065065065065065,0.1146332550569235,0.5437715935897832,0.29994730545880605
45,0.0,B2_cosine,0.001531713289300765,0.05061431693412973,0.48848848848848847,0.08365097407368051,0.31367213843660435,0.24952049094966974
45,0.0,B3_gradclip,0.10955015272810764,0.08466759902077274,0.5045045045045045,0.08586443053023507,0.5305654116802825,0.3019593694908591
