noise,controller,seed,deadlock_steps,deadlock_rate,nonzero_frac,convergence,final_V,V_0
Student-t(1.5),C3_EMA,7,15,0.015,0.985,1,1.323222118194784,12.677813559485507
Student-t(1.5),C3_EMA,8,16,0.016,0.984,0,18.989447476247957,4.769904526626482
Student-t(1.5),C3_EMA,9,55,0.055,0.945,0,1.8351188810750507,0.9120217960891291
Student-t(1.5),C3_EMA,10,47,0.047,0.953,0,13.9500097246147,1.6274820010549707
Student-t(1.5),C3_EMA,11,13,0.013,0.987,1,0.8956665275002816,3.0302010359974783
Student-t(1.5),C3_EMA,12,63,0.063,0.937,0,7.409170920671462,5.118430130099776
Student-t(1.5),C3_EMA,13,103,0.103,0.897,0,35.0497727184534,16.64914553021906
Student-t(1.5),C3_EMA,14,57,0.057,0.943,0,167.23878628112865,11.541140603520772
Student-t(1.5),C3_EMA,15,2,0.002,0.998,0,14.823742569059407,2.633048744210851
Student-t(1.5),C3_EMA,16,8,0.008,0.992,1,1.5076195448804801,6.09737111310263
Student-t(1.5),C3_EMA,17,25,0.025,0.975,1,8.313015860987242,10.21950140445296
Student-t(1.5),C3_EMA,18,8,0.008,0.992,0,93.4292787791347,3.8445500817104956
Student-t(1.5),C3_EMA,19,20,0.02,0.98,0,126.32968846132476,17.13392148178508
Student-t(1.5),C3_EMA,20,99,0.099,0.901,1,0.38079800781218454,3.264257910132376
Student-t(1.5),C3_EMA,21,24,0.024,0.976,0,24.026582070054122,10.37074707241759
Student-t(1.5),C3_EMA,22,3,0.003,0.997,1,0.44891143153009955,3.2964181158509245
Student-t(1.5),C3_EMA,23,7,0.007,0.993,0,14.427811606577789,5.189261803133375
Student-t(1.5),C3_EMA,24,55,0.055,0.945,1,0.8479626612270028,2.3618821517982242
Student-t(1.5),C3_EMA,25,10,0.01,0.99,0,39.3157799925255,1.0861154507435486
Student-t(1.5),C3_EMA,26,68,0.068,0.932,1,2.6677060056724127,6.762660932756832
Student-t(1.5),C3_EMA,27,1,0.001,0.999,1,2.5397111489469437,11.398898586162703
Student-t(1.5),C3_EMA,28,55,0.055,0.945,0,16.723375035723137,4.7624286096558155
Student-t(1.5),C3_EMA,29,17,0.017,0.983,0,114.65868952511556,4.625863101582398
Student-t(1.5),C3_EMA,30,4,0.004,0.996,0,40.451018494149054,4.890706780642039
Student-t(1.5),C3_EMA,31,83,0.083,0.917,0,4.6475185746664405,4.522054016581875
Student-t(1.5),C3_EMA,32,64,0.064,0.936,0,12.147389849200291,4.257091149243498
Student-t(1.5),C3_EMA,33,22,0.022,0.978,0,6.22543274753565,4.968086381863673
Student-t(1.5),C3_EMA,34,39,0.039,0.961,0,13.662507785584856,8.376287005180995
