final_V,cumulative_V,true_viol_rate,max_V,converged,convergence_step,track,seed,h_rate,variant
0.045141375856211925,2.087500777895623,0.34534534534534533,73.03891837587378,1,25,T1,42,0.0,full
0.4985925382921976,0.6113602590921716,0.4964964964964965,28.929585286349315,1,4,T1,42,0.0,no_ema
0.05494194488343277,2.092046585786462,0.34934934934934936,74.54032608922844,1,25,T1,42,0.0,no_floor
0.2781179210812563,2.300394760064352,0.31431431431431434,83.031565247028,1,25,T1,42,0.0,no_ceiling
0.044797536852610086,0.8887402137211423,0.4694694694694695,28.929585286349315,1,12,T1,42,0.0,beta_low
0.18707783778259457,4.018856161977357,0.3103103103103103,298.54070294838505,1,38,T1,42,0.0,beta_high
36.66526802476028,2.096117734694169,0.3563563563563564,70.04992848436264,0,23,T1,43,0.0,full
0.43348013940779045,0.6021481166445399,0.4894894894894895,25.44986180769381,1,436,T1,43,0.0,no_ema
17.202977503437946,2.1079580490325336,0.35735735735735735,70.04992848436264,0,23,T1,43,0.0,no_floor
0.006920011221885564,2.2403405753155146,0.33633633633633636,81.92837192518434,1,23,T1,43,0.0,no_ceiling
0.02880622661487381,0.8710092279823056,0.44244244244244246,25.44986180769381,1,11,T1,43,0.0,beta_low
0.007952650426850519,3.7373300395468037,0.3113113113113113,275.0944635332544,1,31,T1,43,0.0,beta_high
0.011768987865384316,2.090461986503107,0.33933933933933935,70.91517690472186,1,32,T1,44,0.0,full
0.47901736613352386,0.5964371911813221,0.4954954954954955,18.80535052970646,1,1000,T1,44,0.0,no_ema
0.011769415429584337,2.0904645322507522,0.33933933933933935,70.91476028684194,1,32,T1,44,0.0,no_floor
0.003931115371989472,2.2564459520969637,0.33133133133133136,81.84925589178224,1,32,T1,44,0.0,no_ceiling
0.012866248263276805,0.878826939762683,0.45645645645645644,18.80535052970646,1,15,T1,44,0.0,beta_low
0.25080055359668185,3.9600676878476535,0.3113113113113113,285.60341951749,1,50,T1,44,0.0,beta_high
0.005672575146256036,2.018359892849715,0.3483483483483483,75.376938211887,1,18,T1,45,0.0,full
0.4555942924162354,0.5674887545267083,0.5105105105105106,6.075541460563716,1,1000,T1,45,0.0,no_ema
0.005671643663824605,2.0136237110554984,0.35135135135135137,75.37488959399131,1,18,T1,45,0.0,no_floor
0.010567333411034616,2.2057493941757484,0.32432432432432434,85.10708355403885,1,18,T1,45,0.0,no_ceiling
3.1304653070991364,0.8327600367899946,0.44744744744744747,7.810414447259775,0,17,T1,45,0.0,beta_low
0.025354942827792153,3.9532194906273874,0.32232232232232233,285.007895241185,1,29,T1,45,0.0,beta_high
0.007729596133283826,2.063059133254925,0.33933933933933935,70.45979149239022,1,23,T1,46,0.0,full
0.35537850663077974,0.588367757063817,0.5025025025025025,16.695586488021593,1,1000,T1,46,0.0,no_ema
0.00764870798406837,2.0630585453428543,0.33933933933933935,70.45979149239022,1,23,T1,46,0.0,no_floor
0.012786288812583087,2.253359456571252,0.33133133133133136,81.42803904722075,1,23,T1,46,0.0,no_ceiling
0.04134672951774541,0.8487746838405849,0.4624624624624625,16.695586488021593,1,11,T1,46,0.0,beta_low
0.24453042906758093,3.822862635235372,0.3183183183183183,290.2121527972614,1,35,T1,46,0.0,beta_high
0.0845700208831832,2.1904741845399687,0.3383383383383383,72.68785194290062,1,26,T1,47,0.0,full
0.5358891191135914,0.6551725692909053,0.4984984984984985,44.17077540082193,1,7,T1,47,0.0,no_ema
0.08729423290602228,2.1904924027722794,0.34034034034034033,72.68560113110576,1,26,T1,47,0.0,no_floor
0.04133597407794024,2.344165045702146,0.3253253253253253,80.51078056804994,1,26,T1,47,0.0,no_ceiling
0.0029189027925149154,0.9435934700831914,0.4494494494494494,44.17077540082193,1,14,T1,47,0.0,beta_low
0.041258233086826114,3.966556344144668,0.2962962962962963,281.3146905275356,1,42,T1,47,0.0,beta_high
0.07099837582500819,2.1086876931323397,0.34934934934934936,68.75159596363909,1,18,T1,48,0.0,full
0.5861999790118279,0.5885579349697794,0.4944944944944945,17.8106761312405,1,1000,T1,48,0.0,no_ema
0.07094492575874323,2.1244237575476643,0.3483483483483483,67.75978510352483,1,18,T1,48,0.0,no_floor
0.04856065422105975,2.195115094281769,0.33933933933933935,77.31316016237611,1,18,T1,48,0.0,no_ceiling
0.5467049848895236,0.8642684293875943,0.46646646646646645,17.8106761312405,1,11,T1,48,0.0,beta_low
176.06500655321537,3.748162239256997,0.32232232232232233,304.8688205760419,0,25,T1,48,0.0,beta_high
0.06976909892523134,2.026635527442243,0.33733733733733734,63.88037624592252,1,24,T1,49,0.0,full
0.5079808617134238,0.5913037935612503,0.4944944944944945,20.777479568007077,1,1000,T1,49,0.0,no_ema
0.06974162225134939,2.0263900747417614,0.33733733733733734,63.91070164622396,1,24,T1,49,0.0,no_floor
0.07087590015192695,2.260931155990065,0.3103103103103103,77.85816153108047,1,24,T1,49,0.0,no_ceiling
0.04975552943369439,0.8678501514347483,0.45545545545545546,20.777479568007077,1,12,T1,49,0.0,beta_low
0.024321734863442156,3.8352669590961526,0.3163163163163163,266.22925692513485,1,35,T1,49,0.0,beta_high
0.1044221348121769,2.118605970843144,0.36036036036036034,65.54436642536196,1,26,T1,50,0.0,full
0.5468686440782118,0.6027783533467992,0.4984984984984985,25.255151601007327,1,1000,T1,50,0.0,no_ema
0.10447896695186638,2.118644400084635,0.36036036036036034,65.54431387300858,1,26,T1,50,0.0,no_floor
0.0763706130703344,2.2699491835085563,0.35435435435435436,82.4387867169053,1,26,T1,50,0.0,no_ceiling
0.1426593853937118,0.8739431362701034,0.4744744744744745,25.255151601007327,1,13,T1,50,0.0,beta_low
0.11347087246286805,3.7528157603399594,0.3213213213213213,287.89681374842746,1,41,T1,50,0.0,beta_high
0.03817614732869083,2.0232895574268897,0.34234234234234234,66.06144776848404,1,25,T1,51,0.0,full
0.4342585763987304,0.569253391247065,0.4994994994994995,10.790085902561854,1,1000,T1,51,0.0,no_ema
0.03669733331588486,2.0248776179684675,0.34234234234234234,66.10606081097743,1,25,T1,51,0.0,no_floor
0.06067596131749618,2.2488080515656295,0.33433433433433435,93.04180055900743,1,25,T1,51,0.0,no_ceiling
6.2006395118439706,0.8408364863342312,0.4724724724724725,10.790085902561854,0,12,T1,51,0.0,beta_low
0.2078646201687278,3.8487508091429308,0.33233233233233234,281.68912672169364,1,37,T1,51,0.0,beta_high
0.03243085389725709,2.0796022837510986,0.34234234234234234,68.13728625216571,1,30,T1,52,0.0,full
0.46971745051703157,0.5614432411959307,0.4994994994994995,3.863724993049468,0,1000,T1,52,0.0,no_ema
0.03249745208837753,2.0796109384965025,0.34234234234234234,68.13740736090898,1,30,T1,52,0.0,no_floor
0.04073246687618616,2.301591623688813,0.32932932932932935,76.58595870118519,1,34,T1,52,0.0,no_ceiling
3.3679867143146134,0.8233402541806315,0.4804804804804805,8.938936541776387,0,13,T1,52,0.0,beta_low
0.03554653161495058,3.852894875511557,0.3253253253253253,292.97604838670907,1,15,T1,52,0.0,beta_high
0.0037331427496963515,2.047551806393594,0.3383383383383383,68.81500390677074,1,20,T1,53,0.0,full
0.4928389223327961,0.5827657588890699,0.4994994994994995,16.240667602586313,1,1000,T1,53,0.0,no_ema
0.0037331427496963515,2.047551806393594,0.3383383383383383,68.81500390677074,1,20,T1,53,0.0,no_floor
27.690609473889026,2.1788858928179957,0.3263263263263263,75.98017172316729,0,20,T1,53,0.0,no_ceiling
0.012417497369782954,0.8411803328243402,0.44344344344344344,16.240667602586313,1,10,T1,53,0.0,beta_low
0.19389620340891148,3.834417250267808,0.3013013013013013,291.38425433078834,1,32,T1,53,0.0,beta_high
0.12453318735152281,2.1327205524957398,0.3433433433433433,70.0063707704181,1,31,T1,54,0.0,full
0.6220634458046488,0.6043719119966374,0.5055055055055055,26.356335910860793,1,1000,T1,54,0.0,no_ema
0.0634911264440981,2.1337429300585473,0.34234234234234234,69.96709258779224,1,31,T1,54,0.0,no_floor
0.15496416418312867,2.2671721154612623,0.32232232232232233,80.76843908727663,1,31,T1,54,0.0,no_ceiling
0.09586086587069292,0.8865059343065789,0.45145145145145144,26.356335910860793,1,14,T1,54,0.0,beta_low
0.016362777480949074,3.9656890544130055,0.29429429429429427,296.9577669375839,1,49,T1,54,0.0,beta_high
